KbhK,Kbh V,Kbh Ø,Kbh N,Kbh S,Kbh NV,Kbh SV,Valby,Vanløse,Brønshøj
1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020
50.808,48.627,47.419,43.460,38.109,34.282,41.861,35.610,33.516,29.172
-1.7 % ,3.9 % ,5.3 % ,0.7 % ,-0.4 % ,2.6 % ,6.5 % ,2 % ,-2.2 % ,-2.2 % 
2.9 % ,6.2 % ,4.8 % ,0.7 % ,1.1 % ,5.3 % ,10 % ,6.3 % ,-0.7 % ,-6.6 % 
592.2 % ,941.9 % ,694.3 % ,644.9 % ,606.8 % ,486.6 % ,722.9 % ,514 % ,420.7 % ,370.6 % 
4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019
51.669,46.798,45.039,43.164,38.261,33.407,39.303,34.916,34.278,29.817
2.1 % ,5.4 % ,2 % ,1.1 % ,-0.4 % ,-1.4 % ,1.9 % ,1.1 % ,0.8 % ,-0.7 % 
4.6 % ,4.1 % ,-0.5 % ,4.7 % ,2 % ,1.7 % ,-0.9 % ,2.6 % ,2.2 % ,-1.8 % 
603.9 % ,902.7 % ,654.4 % ,639.9 % ,609.6 % ,471.6 % ,672.6 % ,502 % ,432.5 % ,381 % 
3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019
50.605,44.389,44.141,42.698,38.414,33.878,38.566,34.534,34.013,30.023
-0.1 % ,-0.5 % ,-1.7 % ,0.8 % ,0.8 % ,0.6 % ,-0.5 % ,-0.5 % ,2.6 % ,2.4 % 
-0.3 % ,-5.3 % ,-2.7 % ,0 % ,0.4 % ,-2.5 % ,2.1 % ,-0.2 % ,1.1 % ,3 % 
589.4 % ,851.1 % ,639.4 % ,631.9 % ,612.4 % ,479.7 % ,658.1 % ,495.4 % ,428.4 % ,384.3 % 
2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019
50.656,44.612,44.904,42.359,38.109,33.676,38.760,34.708,33.151,29.319
2.6 % ,-2.5 % ,-0.7 % ,-1.9 % ,1.1 % ,3.5 % ,1.9 % ,3.6 % ,-1.8 % ,-6.2 % 
-1.4 % ,-4 % ,-2.5 % ,-2.3 % ,-1.3 % ,-3 % ,1.6 % ,4 % ,-3.7 % ,0.5 % 
590.1 % ,855.9 % ,652.2 % ,626.1 % ,606.8 % ,476.2 % ,661.9 % ,498.4 % ,415 % ,373 % 
1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019
49.354,45.770,45.241,43.162,37.705,32.547,38.045,33.498,33.767,31.241
-0.1 % ,1.8 % ,-0.1 % ,4.7 % ,0.5 % ,-0.9 % ,-4.1 % ,-1.6 % ,0.7 % ,2.9 % 
-4.9 % ,-1.7 % ,-0.4 % ,0.4 % ,-1.3 % ,-5.2 % ,-1.8 % ,-4.1 % ,0.1 % ,5 % 
572.4 % ,880.7 % ,657.8 % ,639.8 % ,599.3 % ,456.9 % ,647.9 % ,477.6 % ,424.6 % ,404 % 
4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018
49.387,44.945,45.286,41.225,37.524,32.841,39.667,34.040,33.531,30.349
-2.7 % ,-4.1 % ,-0.1 % ,-3.4 % ,-2 % ,-5.5 % ,5 % ,-1.6 % ,-0.4 % ,4.1 % 
-1.7 % ,-0.6 % ,3.2 % ,-4.1 % ,4 % ,-2 % ,7.1 % ,1.5 % ,3 % ,7.7 % 
572.8 % ,863 % ,658.6 % ,606.6 % ,595.9 % ,462 % ,679.8 % ,486.9 % ,420.9 % ,389.6 % 
3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018
50.737,46.880,45.346,42.685,38.278,34.750,37.791,34.593,33.651,29.160
-1.3 % ,0.9 % ,-1.5 % ,-1.6 % ,-0.9 % ,0.1 % ,-0.9 % ,3.6 % ,-2.2 % ,0 % 
1 % ,-0.2 % ,3.1 % ,0.6 % ,3.9 % ,5.7 % ,-0.1 % ,5 % ,3.8 % ,2.9 % 
591.2 % ,904.5 % ,659.6 % ,631.7 % ,609.9 % ,494.6 % ,642.9 % ,496.4 % ,422.8 % ,370.4 % 
2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018
51.389,46.459,46.053,43.367,38.613,34.725,38.137,33.386,34.421,29.173
-1 % ,-0.2 % ,1.4 % ,0.8 % ,1.1 % ,1.2 % ,-1.5 % ,-4.4 % ,2.1 % ,-2 % 
4 % ,10.4 % ,8 % ,4.9 % ,7 % ,8.9 % ,2.8 % ,4.4 % ,12 % ,5 % 
600.1 % ,895.5 % ,671.4 % ,643.3 % ,616.1 % ,494.2 % ,649.7 % ,475.6 % ,434.7 % ,370.6 % 
1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018
51.883,46.551,45.407,43.003,38.194,34.318,38.725,34.932,33.721,29.762
3.3 % ,3 % ,3.4 % ,0 % ,5.8 % ,2.4 % ,4.5 % ,4.2 % ,3.6 % ,5.6 % 
11.6 % ,13.1 % ,10.4 % ,11.6 % ,10.5 % ,13.8 % ,7.3 % ,12.5 % ,13.4 % ,13.2 % 
606.9 % ,897.5 % ,660.6 % ,637.1 % ,608.3 % ,487.2 % ,661.3 % ,502.3 % ,423.9 % ,380.1 % 
4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017
50.249,45.216,43.900,42.997,36.093,33.507,37.050,33.525,32.547,28.183
